id,date,tip,period,n_sentences,n_words,n_unique_lemmas,sent_len_mean,sent_len_std,sent_len_p95,word_len_mean,tree_depth_mean,tree_depth_max,ttr_lemma,mtld,func_ratio
2025-02-20_in-orasele-din-moldova-pe-care-le-am-vizitat-recent-am-intal,2025-02-20,facebook-post,2024Q4-2025Q1 candidatură-precampanie,2,19,18,9.5,10.606601717798213,2,5.684210526315789,3.0,4,0.9473684210526315,0.0,0.42105263157894735
2025-02-20_romania-asteapta-o-schimbare-reala-romania-puternica-are-nev,2025-02-20,facebook-post,2024Q4-2025Q1 candidatură-precampanie,3,16,14,5.333333333333333,3.0550504633038935,6,6.375,2.0,2,0.875,0.0,0.25
2025-02-21_discutiile-internationale-despre-reconfigurarea-securitatii,2025-02-21,facebook-post,2024Q4-2025Q1 candidatură-precampanie,4,90,69,22.5,17.31088289679838,30,5.122222222222222,4.5,9,0.7666666666666667,108.00000000000004,0.43333333333333335
2025-02-21_impreuna-pentru-romania-onesta,2025-02-21,facebook-post,2024Q4-2025Q1 candidatură-precampanie,1,5,5,5.0,0.0,5,5.6,2.0,2,1.0,0.0,0.2
2025-02-21_presedintele-trebuie-sa-uneasca-energiile-din-societate-doar,2025-02-21,facebook-post,2024Q4-2025Q1 candidatură-precampanie,3,18,16,6.0,3.4641016151377544,8,6.444444444444445,3.0,4,0.8888888888888888,0.0,0.2777777777777778
2025-02-21_ultimul-dintre-studiile-de-fundamentare-necesare-pentru-actu,2025-02-21,facebook-post,2024Q4-2025Q1 candidatură-precampanie,11,242,144,22.09090909090909,12.644797708579963,36,5.636363636363637,4.5,7,0.5950413223140496,81.49190110826939,0.384297520661157
2025-02-21_vrei-sa-fii-parte-din-schimbare-alatura-te-echipei-de-volunt,2025-02-21,facebook-post,2024Q4-2025Q1 candidatură-precampanie,5,61,55,12.2,6.760177512462229,11,6.081967213114754,4.0,7,0.9016393442622951,173.6466666666667,0.3114754098360656
2025-02-22_bucurestiul-este-finalist-la-premiile-saptamanii-europene-a,2025-02-22,facebook-post,2024Q4-2025Q1 candidatură-precampanie,4,66,54,17.0,10.739335795724674,22,5.863636363636363,3.75,5,0.8181818181818182,101.64000000000003,0.3181818181818182
2025-02-22_in-vremuri-complicate-singura-resursa-ramane-discernamantul,2025-02-22,facebook-post,2024Q4-2025Q1 candidatură-precampanie,1,9,9,9.0,0.0,9,6.777777777777778,2.0,2,1.0,0.0,0.2222222222222222
2025-02-23_am-discutat-in-acest-week-end-cu-oameni-din-ploiesti-brasov,2025-02-23,facebook-post,2024Q4-2025Q1 candidatură-precampanie,9,161,99,17.88888888888889,7.606649138162685,23,5.372670807453416,4.333333333333333,6,0.6149068322981367,80.5,0.4658385093167702
2025-02-23_felicit-blocul-de-centru-dreapta-pro-european-cdu-csu-pentru,2025-02-23,facebook-post,2024Q4-2025Q1 candidatură-precampanie,7,122,82,17.428571428571427,15.273693537769908,23,5.401639344262295,3.5714285714285716,6,0.6721311475409836,77.98032589922656,0.3770491803278688
2025-02-23_grup-de-suport-pentru-femeile-afectate-de-violenta-domestica,2025-02-23,facebook-post,2024Q4-2025Q1 candidatură-precampanie,7,83,60,12.571428571428571,7.1614044911395895,18,6.0,3.7142857142857144,6,0.7228915662650602,83.43304347826087,0.39759036144578314
2025-02-24_proiectul-politic-care-va-avea-cei-mai-multi-cei-mai-entuzia,2025-02-24,facebook-post,2024Q4-2025Q1 candidatură-precampanie,3,59,41,19.666666666666668,11.590225767142474,18,6.0,5.0,9,0.6949152542372882,52.64224137931035,0.4915254237288136
2025-02-25_cifrele-vorbesc-clar-suntem-pe-drumul-cel-bun-si-romania-one,2025-02-25,facebook-post,2024Q4-2025Q1 candidatură-precampanie,7,75,65,10.714285714285714,5.822779568622009,16,6.0,3.2857142857142856,5,0.8666666666666667,157.50000000000006,0.4
