id,date,tip,period,n_words,n_hedging,n_certitudine,n_personal,hedge_per_1000w,cert_per_1000w,personal_per_1000w,hedge_cert_ratio
2025-05-08_dezbatere-euronews-simion,2025-05-08,dezbatere-electorala,2025Q2 campanie + investitură,62,1,4,0,16.129032258064516,64.51612903225806,0.0,0.2
2024-12-16_anunt-candidatura,2024-12-16,anunt-candidatura,2024Q4-2025Q1 candidatură-precampanie,122,0,0,0,0.0,0.0,0.0,0.0
2025-02-03_lansare-campanie-romania-onesta,2025-02-03,lansare-campanie,2024Q4-2025Q1 candidatură-precampanie,191,1,0,1,5.2356020942408374,0.0,5.2356020942408374,1.0
2025-05-19_discurs-victorie,2025-05-19,discurs-victorie,2025Q2 campanie + investitură,268,1,0,0,3.7313432835820897,0.0,0.0,1.0
2025-05-26_discurs-investitura,2025-05-26,discurs-investitura,2025Q2 campanie + investitură,1030,3,3,1,2.912621359223301,2.912621359223301,0.970873786407767,0.75
2025-06-04_conferinta-presa-cotroceni,2025-06-04,conferinta-presa,2025Q3 deficit + reforma economică,111,2,0,2,18.01801801801802,0.0,18.01801801801802,2.0
2025-09-04_autoevaluare-100-zile,2025-09-04,interviu-autoevaluare,2025Q4 stabilizare + diplomație,168,3,1,2,17.857142857142858,5.9523809523809526,11.904761904761905,1.5
2025-12-31_mesaj-anul-nou,2025-12-31,mesaj-anul-nou,2025Q4-2026Q1 reformă judiciară,293,0,3,0,0.0,10.238907849829351,0.0,0.0
2024-12-04_political-studio-nicusor-dan-the-signal-is-good-even-if-it-i,2024-12-04,video-transcript,2024Q4-2025Q1 candidatură-precampanie,2478,27,18,13,10.895883777239709,7.263922518159807,5.246166263115415,1.4210526315789473
2024-12-16_nicusor-dan-despre-calin-georgescu-in-ceea-ce-priveste-conte,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,70,1,1,1,14.285714285714286,14.285714285714286,14.285714285714286,0.5
2024-12-16_nicusor-dan-intentionez-sa-candidez-ca-independent-la-aleger,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,716,4,4,1,5.58659217877095,5.58659217877095,1.3966480446927374,0.8
