topic_id,topic_label,drift
0,0_nicusorpresedinte_romaniaonesta_romaniaonesta nicusorpresedinte_nicusordan,0.3671
9,9_campania_georgescu_călin georgescu_călin,0.3158
5,5_trebuie_csm_cred_momentul,0.3016
2,2_vot_votat_votare_alegeriprezidențiale,0.22
6,6_ani_responsabilitate_românia_unirea,0.2042
8,8_live_presă_susținute_declarații,0.1802
7,7_unite_statele_statele unite_românia,0.1604
4,4_există_guvern_momentul_evident,0.1498
1,1_bucurești_capitalei_modernizarea_str,0.1491
3,3_romaniaonesta_nicusorpresedinte_romaniaonesta nicusorpresedinte_nicusorpresedi,0.0373
