canonical,2024Q4-2025Q1 candidatură-precampanie,2025Q2 campanie + investitură,2025Q3 deficit + reforma economică,2025Q4 stabilizare + diplomație,2025Q4-2026Q1 reformă judiciară,2026Q2 cotitură UE + criză guvern
românia,95,384,170,215,270,252
româniei,18,104,56,65,66,81
ucraina,2,11,39,34,37,59
sua,2,18,17,11,82,24
nato,8,16,20,33,8,50
ue,8,19,23,7,43,28
romaniaonesta,9,99,0,0,0,0
r. moldova,0,38,37,10,4,12
rusia,1,6,21,42,9,12
csm,2,0,32,6,25,22
psd,2,29,5,7,5,19
președintele,12,9,21,1,11,12
polonia,0,7,6,3,2,39
ucrainei,0,1,16,7,6,26
republicii moldova,0,11,24,11,4,6
statul român,2,13,16,14,7,3
nicusorpresedinte,6,49,0,0,0,0
parlament,12,14,7,5,7,9
rusiei,2,3,13,26,8,2
georgescu,21,18,2,8,1,1
președinte,8,22,4,4,6,5
curtea constituțională,5,10,11,14,5,1
uniunii europene,0,7,3,13,14,7
ocde,0,0,7,18,4,11
românie,1,27,1,0,8,0
