canonical,2024Q4-2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
ROMÂNIA,114,515,227,280,344,333
UCRAINA,2,12,55,41,43,85
R. MOLDOVA,0,51,61,29,9,36
SUA,2,20,20,11,97,29
UE,8,26,26,20,57,35
RUSIA,3,9,34,68,17,14
NATO,8,16,20,33,8,50
CSM,2,0,32,6,25,22
PARLAMENT,15,15,9,8,16,14
POLONIA,0,8,9,3,2,47
PSD,2,29,5,7,5,19
GUVERN,5,21,15,5,10,10
STATUL ROMÂN,2,13,16,14,7,3
CCR,5,12,11,18,8,1
GEORGESCU,21,18,2,8,1,1
OCDE,0,0,7,20,4,14
FRANȚA,2,6,2,6,19,8
SIMION,1,31,3,0,0,0
COMISIA EUROPEANĂ,1,6,11,2,7,2
GERMANIA,3,4,12,3,3,3
USR,4,11,3,3,4,2
DNA,0,1,1,1,7,15
PNL,4,4,2,1,8,6
TRUMP,1,7,2,0,8,0
