doc_id,date,tip,period,canonical,label,count,max_score
2025-02-21_discutiile-internationale-despre-reconfigurarea-securitatii,2025-02-21,facebook-post,2024Q4-2025Q1 candidatură-precampanie,europa,instituție internațională,2,0.467
2025-02-21_discutiile-internationale-despre-reconfigurarea-securitatii,2025-02-21,facebook-post,2024Q4-2025Q1 candidatură-precampanie,românia,țară,3,0.991
2025-02-21_discutiile-internationale-despre-reconfigurarea-securitatii,2025-02-21,facebook-post,2024Q4-2025Q1 candidatură-precampanie,rusiei,țară,1,0.814
2025-02-21_vrei-sa-fii-parte-din-schimbare-alatura-te-echipei-de-volunt,2025-02-21,facebook-post,2024Q4-2025Q1 candidatură-precampanie,românia,țară,1,0.755
2025-02-21_vrei-sa-fii-parte-din-schimbare-alatura-te-echipei-de-volunt,2025-02-21,facebook-post,2024Q4-2025Q1 candidatură-precampanie,romaniaonesta,țară,1,0.778
2025-02-22_bucurestiul-este-finalist-la-premiile-saptamanii-europene-a,2025-02-22,facebook-post,2024Q4-2025Q1 candidatură-precampanie,tpbi,instituție națională,1,0.561
2025-02-22_bucurestiul-este-finalist-la-premiile-saptamanii-europene-a,2025-02-22,facebook-post,2024Q4-2025Q1 candidatură-precampanie,stb sa,instituție națională,1,0.508
2025-02-22_bucurestiul-este-finalist-la-premiile-saptamanii-europene-a,2025-02-22,facebook-post,2024Q4-2025Q1 candidatură-precampanie,spania,țară,1,0.943
2025-02-22_bucurestiul-este-finalist-la-premiile-saptamanii-europene-a,2025-02-22,facebook-post,2024Q4-2025Q1 candidatură-precampanie,cehia,țară,1,0.938
2025-02-23_am-discutat-in-acest-week-end-cu-oameni-din-ploiesti-brasov,2025-02-23,facebook-post,2024Q4-2025Q1 candidatură-precampanie,românia,țară,3,0.983
2025-02-23_am-discutat-in-acest-week-end-cu-oameni-din-ploiesti-brasov,2025-02-23,facebook-post,2024Q4-2025Q1 candidatură-precampanie,româniei,țară,2,0.96
2025-02-23_am-discutat-in-acest-week-end-cu-oameni-din-ploiesti-brasov,2025-02-23,facebook-post,2024Q4-2025Q1 candidatură-precampanie,romaniaonesta,țară,1,0.862
2025-02-23_am-discutat-in-acest-week-end-cu-oameni-din-ploiesti-brasov,2025-02-23,facebook-post,2024Q4-2025Q1 candidatură-precampanie,romaniaputernica,țară,1,0.867
2025-02-23_am-discutat-in-acest-week-end-cu-oameni-din-ploiesti-brasov,2025-02-23,facebook-post,2024Q4-2025Q1 candidatură-precampanie,nicusorpresedinte,persoană politică,1,0.744
2025-02-23_felicit-blocul-de-centru-dreapta-pro-european-cdu-csu-pentru,2025-02-23,facebook-post,2024Q4-2025Q1 candidatură-precampanie,cdu,partid politic,2,0.978
2025-02-23_felicit-blocul-de-centru-dreapta-pro-european-cdu-csu-pentru,2025-02-23,facebook-post,2024Q4-2025Q1 candidatură-precampanie,csu,partid politic,1,0.616
2025-02-23_felicit-blocul-de-centru-dreapta-pro-european-cdu-csu-pentru,2025-02-23,facebook-post,2024Q4-2025Q1 candidatură-precampanie,germania,țară,3,0.991
2025-02-23_felicit-blocul-de-centru-dreapta-pro-european-cdu-csu-pentru,2025-02-23,facebook-post,2024Q4-2025Q1 candidatură-precampanie,friedrich merz,persoană politică,1,0.944
2025-02-23_felicit-blocul-de-centru-dreapta-pro-european-cdu-csu-pentru,2025-02-23,facebook-post,2024Q4-2025Q1 candidatură-precampanie,ue,țară,1,0.555
2025-02-23_felicit-blocul-de-centru-dreapta-pro-european-cdu-csu-pentru,2025-02-23,facebook-post,2024Q4-2025Q1 candidatură-precampanie,românia,țară,1,0.807
2025-02-23_grup-de-suport-pentru-femeile-afectate-de-violenta-domestica,2025-02-23,facebook-post,2024Q4-2025Q1 candidatură-precampanie,primăria capitalei,instituție națională,1,0.766
2025-02-23_grup-de-suport-pentru-femeile-afectate-de-violenta-domestica,2025-02-23,facebook-post,2024Q4-2025Q1 candidatură-precampanie,dgasmb,instituție națională,1,0.579
2025-02-24_proiectul-politic-care-va-avea-cei-mai-multi-cei-mai-entuzia,2025-02-24,facebook-post,2024Q4-2025Q1 candidatură-precampanie,nicușorpresedinte,persoană politică,1,0.601
2025-02-24_proiectul-politic-care-va-avea-cei-mai-multi-cei-mai-entuzia,2025-02-24,facebook-post,2024Q4-2025Q1 candidatură-precampanie,romaniaonesta,țară,1,0.822
2025-02-24_proiectul-politic-care-va-avea-cei-mai-multi-cei-mai-entuzia,2025-02-24,facebook-post,2024Q4-2025Q1 candidatură-precampanie,romaniaputernica,țară,1,0.88
2025-02-25_cifrele-vorbesc-clar-suntem-pe-drumul-cel-bun-si-romania-one,2025-02-25,facebook-post,2024Q4-2025Q1 candidatură-precampanie,românia,țară,2,0.983
