canonical,label,count
românia,țară,1386
româniei,țară,390
ucraina,țară,182
sua,țară,153
nato,instituție internațională,130
ue,instituție internațională,124
romaniaonesta,țară,108
r. moldova,țară,101
rusia,țară,91
csm,instituție națională,87
psd,partid politic,67
președintele,persoană politică,66
polonia,țară,57
ucrainei,țară,56
republicii moldova,țară,56
nicusorpresedinte,persoană politică,55
rusiei,țară,54
parlament,instituție națională,53
georgescu,persoană politică,51
președinte,persoană politică,49
curtea constituțională,instituție națională,44
uniunii europene,instituție internațională,43
ocde,instituție internațională,39
statul român,instituție națională,38
românie,țară,37
pnrr,partid politic,36
guvernul,instituție națională,35
simion,persoană politică,35
franța,țară,34
președintelui,persoană politică,33
nicusordan,persoană politică,32
moldova,țară,29
usr,partid politic,27
europa,instituție internațională,26
pnl,partid politic,25
dna,instituție națională,25
csat,instituție națională,25
statelor unite,țară,24
statul,instituție națională,24
germania,țară,24
sri,instituție națională,23
primul ministru,persoană politică,23
parlamentul,instituție națională,23
consiliul superior al magistraturii,instituție națională,22
ce,instituție internațională,21
guvern,instituție națională,19
primăria capitalei,instituție națională,19
romania,țară,18
trump,persoană politică,18
statul român,țară,17
