canonical,label,count
ROMÂNIA,țară,1813
UCRAINA,țară,238
R. MOLDOVA,țară,186
SUA,țară,175
UE,instituție internațională,169
RUSIA,țară,145
NATO,instituție internațională,124
CSM,instituție națională,87
POLONIA,țară,69
PARLAMENT,instituție națională,69
PSD,partid politic,67
GUVERN,instituție națională,66
CCR,instituție națională,55
GEORGESCU,persoană politică,51
OCDE,instituție internațională,44
FRANȚA,țară,43
STATUL ROMÂN,instituție națională,37
SIMION,persoană politică,35
GERMANIA,țară,28
USR,partid politic,27
DNA,instituție națională,25
PNL,partid politic,25
COMISIA EUROPEANĂ,instituție internațională,21
TRUMP,persoană politică,18
STATUL ROMÂN,țară,18
UNGARIA,țară,17
CIOLACU,persoană politică,17
UK,țară,17
BOLOJAN,persoană politică,14
NATO,țară,11
ANAF,instituție națională,11
CHINA,țară,10
BULGARIA,țară,9
PONTA,persoană politică,8
PARLAMENT,instituție internațională,8
ADMINISTRAȚIA PREZIDENȚIALĂ,instituție națională,8
MAIA SANDU,persoană politică,8
COMISIA EUROPEANĂ,instituție națională,8
RUTTE,persoană politică,7
ITALIA,țară,7
IOHANNIS,persoană politică,7
UDMR,partid politic,6
MACRON,persoană politică,4
ZELENSKI,persoană politică,4
PUTIN,persoană politică,4
SUA,instituție internațională,4
ONU,instituție internațională,3
AUR,partid politic,3
PARLAMENTUL EUROPEAN,instituție națională,3
LASCONI,persoană politică,3
BNR,instituție națională,2
URSULA VDL,persoană politică,2
DIICOT,instituție națională,2
PARLAMENTUL EUROPEAN,instituție internațională,2
UE,instituție națională,2
CIUCU,persoană politică,1
OCDE,țară,1
ORBAN,persoană politică,1
UE,țară,1
