canonical,2024Q4-2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
ROMÂNIA,18,216,67,116,118,106
UCRAINA,1,3,30,5,9,22
R. MOLDOVA,0,19,11,16,4,16
UE,1,8,4,6,21,13
NATO,0,7,8,11,6,20
RUSIA,1,8,13,10,5,7
SUA,0,8,4,1,17,8
OCDE,0,0,3,15,4,6
POLONIA,0,5,0,1,0,15
FRANȚA,0,4,0,4,9,2
SIMION,0,17,0,0,0,0
GERMANIA,3,1,3,3,0,3
CIOLACU,0,10,0,0,0,0
GUVERN,0,4,4,1,0,0
MAIA SANDU,0,2,3,2,0,1
TRUMP,0,1,2,0,4,0
RUTTE,0,0,0,2,0,5
UK,0,1,2,0,4,0
ADMINISTRAȚIA PREZIDENȚIALĂ,0,0,1,3,1,1
CCR,0,0,0,2,4,0
BOLOJAN,0,2,2,0,1,0
PONTA,0,5,0,0,0,0
PSD,0,5,0,0,0,0
ITALIA,0,1,0,2,0,1
GEORGESCU,0,3,0,0,1,0
