canonical,label,count
românia,țară,447
româniei,țară,170
romaniaonesta,țară,108
nicusorpresedinte,persoană politică,55
nato,instituție internațională,49
ucraina,țară,47
ue,instituție internațională,41
r. moldova,țară,39
sua,țară,38
nicusordan,persoană politică,32
ocde,instituție internațională,27
românie,țară,24
ucrainei,țară,23
republicii moldova,țară,23
rusiei,țară,23
rusia,țară,21
polonia,țară,18
romaniaputernica,țară,17
romania,țară,17
simion,persoană politică,17
nicușor-daniel dan,persoană politică,16
președinte,persoană politică,15
nd11,partid politic,12
uniunii europene,instituție internațională,11
franța,țară,10
spania,țară,10
țara noastră,țară,10
ciolacu,persoană politică,10
germania,țară,9
consiliului european,instituție internațională,9
statul,instituție națională,9
franței,țară,9
maia sandu,persoană politică,8
austria,țară,8
trump,persoană politică,7
uk,țară,7
cipru,țară,7
primăria capitalei,instituție națională,7
rutte,persoană politică,7
pnrr,partid politic,6
comunității politice europene,instituție internațională,6
administrația prezidențială,instituție națională,6
consiliului european,instituție națională,5
karol nawrocki,persoană politică,5
guvernul,instituție națională,5
psd,partid politic,5
româniaonestă,țară,5
belgia,țară,5
spaniei,țară,5
bolojan,persoană politică,5
