canonical,label,count
ROMÂNIA,țară,641
UCRAINA,țară,70
R. MOLDOVA,țară,66
UE,instituție internațională,52
NATO,instituție internațională,49
RUSIA,țară,44
SUA,țară,38
OCDE,instituție internațională,28
POLONIA,țară,21
FRANȚA,țară,19
SIMION,persoană politică,17
GERMANIA,țară,13
CIOLACU,persoană politică,10
GUVERN,instituție națională,9
MAIA SANDU,persoană politică,8
TRUMP,persoană politică,7
RUTTE,persoană politică,7
UK,țară,7
ADMINISTRAȚIA PREZIDENȚIALĂ,instituție națională,6
CCR,instituție națională,6
PONTA,persoană politică,5
BOLOJAN,persoană politică,5
PSD,partid politic,5
GEORGESCU,persoană politică,4
ITALIA,țară,4
MACRON,persoană politică,4
NATO,țară,3
COMISIA EUROPEANĂ,instituție internațională,3
CSM,instituție națională,3
ZELENSKI,persoană politică,2
UNGARIA,țară,2
IOHANNIS,persoană politică,2
COMISIA EUROPEANĂ,instituție națională,2
BULGARIA,țară,2
DIICOT,instituție națională,2
URSULA VDL,persoană politică,2
CHINA,țară,1
DNA,instituție națională,1
CIUCU,persoană politică,1
PNL,partid politic,1
LASCONI,persoană politică,1
STATUL ROMÂN,instituție națională,1
STATUL ROMÂN,țară,1
UE,țară,1
USR,partid politic,1
