canonical,2024Q4-2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
ROMÂNIA,96,299,160,164,226,227
UCRAINA,1,9,25,36,34,63
SUA,2,12,16,10,80,21
R. MOLDOVA,0,32,50,13,5,20
UE,7,18,22,14,36,22
RUSIA,2,1,21,58,12,7
CSM,2,0,31,6,23,22
NATO,8,9,12,22,2,30
PARLAMENT,15,15,9,8,16,14
PSD,2,24,5,7,5,19
GUVERN,5,17,11,4,10,10
STATUL ROMÂN,2,12,16,14,6,3
CCR,5,12,11,16,4,1
POLONIA,0,3,9,2,2,32
GEORGESCU,21,15,2,8,0,1
USR,4,11,3,2,4,2
PNL,4,3,2,1,8,6
FRANȚA,2,2,2,2,10,6
COMISIA EUROPEANĂ,1,4,10,1,6,2
DNA,0,0,1,1,7,15
SIMION,1,14,3,0,0,0
OCDE,0,0,4,5,0,8
GERMANIA,0,3,9,0,3,0
UNGARIA,0,1,0,1,1,12
