doc_id,date,tip,canonical,label,count,max_score
2025-05-08_dezbatere-euronews-simion,2025-05-08,dezbatere-electorala,ROMÂNIA,țară,3,0.994
2025-05-08_dezbatere-euronews-simion,2025-05-08,dezbatere-electorala,SUA,țară,1,0.898
2025-05-08_dezbatere-euronews-simion,2025-05-08,dezbatere-electorala,NATO,instituție internațională,1,0.877
2025-05-08_dezbatere-euronews-simion,2025-05-08,dezbatere-electorala,UE,instituție internațională,1,0.874
2025-05-08_dezbatere-euronews-simion,2025-05-08,dezbatere-electorala,TRUMP,persoană politică,1,0.923
2024-12-16_anunt-candidatura,2024-12-16,anunt-candidatura,ROMÂNIA,țară,5,0.988
2025-02-03_lansare-campanie-romania-onesta,2025-02-03,lansare-campanie,ROMÂNIA,țară,4,0.977
2025-05-19_discurs-victorie,2025-05-19,discurs-victorie,ROMÂNIA,țară,10,0.992
2025-05-19_discurs-victorie,2025-05-19,discurs-victorie,R. MOLDOVA,țară,1,0.673
2025-05-26_discurs-investitura,2025-05-26,discurs-investitura,ROMÂNIA,țară,19,0.99
2025-05-26_discurs-investitura,2025-05-26,discurs-investitura,R. MOLDOVA,țară,4,0.976
2025-05-26_discurs-investitura,2025-05-26,discurs-investitura,STATUL ROMÂN,instituție națională,2,0.607
2025-05-26_discurs-investitura,2025-05-26,discurs-investitura,SUA,țară,1,0.685
2025-05-26_discurs-investitura,2025-05-26,discurs-investitura,NATO,instituție internațională,2,0.685
2025-05-26_discurs-investitura,2025-05-26,discurs-investitura,UE,instituție națională,2,0.527
2025-09-04_autoevaluare-100-zile,2025-09-04,interviu-autoevaluare,ROMÂNIA,țară,1,0.914
2025-12-31_mesaj-anul-nou,2025-12-31,mesaj-anul-nou,ROMÂNIA,țară,3,0.992
2024-12-04_political-studio-nicusor-dan-the-signal-is-good-even-if-it-i,2024-12-04,video-transcript,PARLAMENT,instituție internațională,8,0.882
2024-12-04_political-studio-nicusor-dan-the-signal-is-good-even-if-it-i,2024-12-04,video-transcript,NATO,instituție internațională,3,0.927
2024-12-04_political-studio-nicusor-dan-the-signal-is-good-even-if-it-i,2024-12-04,video-transcript,UE,instituție internațională,2,0.953
2024-12-04_political-studio-nicusor-dan-the-signal-is-good-even-if-it-i,2024-12-04,video-transcript,STATUL ROMÂN,țară,2,0.631
2024-12-04_political-studio-nicusor-dan-the-signal-is-good-even-if-it-i,2024-12-04,video-transcript,GEORGESCU,persoană politică,4,0.792
2024-12-04_political-studio-nicusor-dan-the-signal-is-good-even-if-it-i,2024-12-04,video-transcript,PSD,partid politic,1,0.89
