canonical,label,count
românia,țară,939
româniei,țară,220
ucraina,țară,135
sua,țară,115
csm,instituție națională,84
ue,instituție internațională,83
nato,instituție internațională,81
rusia,țară,70
președintele,persoană politică,65
psd,partid politic,62
r. moldova,țară,62
parlament,instituție națională,53
georgescu,persoană politică,47
curtea constituțională,instituție națională,39
polonia,țară,39
statul român,instituție națională,37
președinte,persoană politică,34
ucrainei,țară,33
republicii moldova,țară,33
uniunii europene,instituție internațională,32
rusiei,țară,31
pnrr,partid politic,30
președintelui,persoană politică,30
guvernul,instituție națională,30
usr,partid politic,26
moldova,țară,25
csat,instituție națională,24
franța,țară,24
statelor unite,țară,24
pnl,partid politic,24
dna,instituție națională,24
europa,instituție internațională,23
parlamentul,instituție națională,23
primul ministru,persoană politică,23
consiliul superior al magistraturii,instituție națională,20
sri,instituție națională,19
guvern,instituție națională,19
ce,instituție internațională,18
simion,persoană politică,18
statul român,țară,16
inspecția judiciară,instituție națională,15
statul,instituție națională,15
statului român,instituție națională,15
germania,țară,15
nicușor dan,persoană politică,14
înalta curte,instituție națională,13
partidele,partid politic,13
europa,țară,13
curții constituționale,instituție națională,13
românie,țară,13
