canonical,label,count
ROMÂNIA,țară,1172
UCRAINA,țară,168
SUA,țară,137
R. MOLDOVA,țară,120
UE,instituție internațională,117
RUSIA,țară,101
CSM,instituție națională,84
NATO,instituție internațională,75
PARLAMENT,instituție națională,69
PSD,partid politic,62
GUVERN,instituție națională,57
CCR,instituție națională,49
POLONIA,țară,48
GEORGESCU,persoană politică,47
STATUL ROMÂN,instituție națională,36
USR,partid politic,26
DNA,instituție națională,24
FRANȚA,țară,24
PNL,partid politic,24
COMISIA EUROPEANĂ,instituție internațională,18
SIMION,persoană politică,18
STATUL ROMÂN,țară,17
OCDE,instituție internațională,16
UNGARIA,țară,15
GERMANIA,țară,15
TRUMP,persoană politică,11
ANAF,instituție națională,11
UK,țară,10
BOLOJAN,persoană politică,9
CHINA,țară,9
PARLAMENT,instituție internațională,8
NATO,țară,8
BULGARIA,țară,7
CIOLACU,persoană politică,7
COMISIA EUROPEANĂ,instituție națională,6
UDMR,partid politic,6
IOHANNIS,persoană politică,5
PUTIN,persoană politică,4
SUA,instituție internațională,4
PARLAMENTUL EUROPEAN,instituție națională,3
AUR,partid politic,3
ONU,instituție internațională,3
PONTA,persoană politică,3
ITALIA,țară,3
LASCONI,persoană politică,2
BNR,instituție națională,2
ADMINISTRAȚIA PREZIDENȚIALĂ,instituție națională,2
PARLAMENTUL EUROPEAN,instituție internațională,2
UE,instituție națională,2
ZELENSKI,persoană politică,2
OCDE,țară,1
ORBAN,persoană politică,1
