id,label,wc,delta_to_scris_centroid,delta_to_vorbit_centroid,closer_to,pc1,pc2
2025-02-21_discutiile-internationale-despre-reconfigurarea-securitatii,scris,85,0.5827764115494735,0.6815087587557312,scris,-0.5913390266331628,0.43542365272760347
2025-02-21_ultimul-dintre-studiile-de-fundamentare-necesare-pentru-actu,scris,242,0.44693655998797843,0.6014548694348547,scris,-3.0270942523367697,-2.099919845554982
2025-02-22_bucurestiul-este-finalist-la-premiile-saptamanii-europene-a,scris,67,0.5195704743250492,0.6571205751632531,scris,-3.677686394172531,-1.0463200265776746
2025-02-23_am-discutat-in-acest-week-end-cu-oameni-din-ploiesti-brasov,scris,160,0.5045243256019051,0.6060909606898446,scris,-0.45399231268210793,-0.7171371151949759
2025-02-23_felicit-blocul-de-centru-dreapta-pro-european-cdu-csu-pentru,scris,122,0.41077481645531416,0.5420629662558752,scris,-2.7681344486785235,-1.722477993302684
2025-02-23_grup-de-suport-pentru-femeile-afectate-de-violenta-domestica,scris,84,0.5155466097965107,0.6352479903395322,scris,-2.4868951251647755,-1.7692800411820402
2025-02-24_proiectul-politic-care-va-avea-cei-mai-multi-cei-mai-entuzia,scris,58,0.8522378214616814,0.9305141039184817,scris,-0.022038154448698832,8.558676695003532
2025-02-25_cifrele-vorbesc-clar-suntem-pe-drumul-cel-bun-si-romania-one,scris,75,0.6116164404002356,0.7005516277799869,scris,-0.8771886859658174,1.4470480178408944
2025-02-26_suntem-aproape-de-100-000-de-semnaturi-pentru-depunerea-cand,scris,80,0.6172028847176542,0.7251669951011129,scris,-0.8292707108053171,1.0822264040964968
2025-02-27_500-de-copii-vor-fi-ajutati-sa-ramana-alaturi-de-familiile-l,scris,187,0.44341606447554677,0.6276336313644673,scris,-3.3735781229890978,-1.3956291497731945
2025-02-27_in-sibiu-am-descoperit-aceleasi-probleme-ca-la-bucuresti-cup,scris,59,0.6374464612163039,0.6906516072656183,scris,1.1870676346215856,0.9263398957441147
2025-02-27_toata-viata-mea-am-luptat-pentru-dreptate-pentru-protectia-c,scris,105,0.502965280686433,0.5493441409802923,scris,1.326054777133654,-0.7364367324390994
2025-02-28_este-profund-ingrijorator-ca-romania-a-fost-retrogradata-in,scris,166,0.4535614910178179,0.5836101122090566,scris,-1.8585546859504687,0.013897702002687775
2025-02-28_sust-in-ferm-ucraina-i-n-lupta-sa-pentru-o-pace-justa-s-i-su,scris,66,0.7507345363059388,0.8377332114829737,scris,0.18794974141980175,-3.5354103584794134
2025-03-02_91-de-statii-stb-vor-primi-denumiri-noi-mai-precise-care-ref,scris,119,0.49248958688945293,0.6098323426574472,scris,-1.391128118384445,-2.144395735129334
2025-03-02_marim-capacitatea-de-cazare-a-adapostului-de-caini-aspa-miha,scris,83,0.5664089637636054,0.7018669932937879,scris,-3.405642242106478,-4.192431785938876
2025-03-03_am-avut-onoarea-sa-primesc-astazi-la-sediul-primariei-capita,scris,153,0.4757153731259374,0.6453758771520921,scris,-3.9022897629409274,0.32280467580281397
2025-03-04_astazi-se-implinesc-48-de-ani-de-la-cutremurul-devastator-ca,scris,208,0.39842078801514796,0.5581162539295663,scris,-3.043993430590501,0.3993513327349484
2025-03-04_azi-serviciul-de-informatii-externe-al-rusiei-a-dat-un-comun,scris,121,0.5399781449278229,0.6840340552834293,scris,-2.6549212158750004,3.416632351403385
2025-03-05_astazi-am-avut-o-intalnire-extrem-de-interesanta-cu-reprezen,scris,256,0.43108460781533886,0.6119007011003921,scris,-2.6521345104947653,-0.763648400319503
